profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
135,18,2,1,138,300,20,4,50,20,1,0,0,1,0
15,18,2,2,138,300,15,0.5,50,20,0,1,1,0,0
0,18,2,3,138,0,0,0,0,0,0,0,0,0,1
710,18,3,1,139,200,20,4,60,30,1,0,0,1,0
769,18,3,2,139,100,15,2,70,30,0,1,1,0,0
0,18,3,3,139,0,0,0,0,0,0,0,0,0,1
1010,18,4,1,140,200,10,0.5,60,40,1,0,1,0,0
645,18,4,2,140,300,15,4,60,30,0,1,1,0,0
0,18,4,3,140,0,0,0,0,0,0,0,0,0,1
226,18,5,1,141,100,10,0.5,60,20,0,1,0,1,0
597,18,5,2,141,300,10,1,60,30,1,0,1,0,0
0,18,5,3,141,0,0,0,0,0,0,0,0,0,1
879,18,6,1,142,300,15,0.5,50,40,0,1,1,0,0
143,18,6,2,142,200,20,4,50,20,0,1,0,1,0
0,18,6,3,142,0,0,0,0,0,0,0,0,0,1
1052,18,7,1,143,200,20,2,60,40,1,0,1,0,0
611,18,7,2,143,200,20,1,60,30,0,1,1,0,0
0,18,7,3,143,0,0,0,0,0,0,0,0,0,1
237,18,8,1,144,300,10,1,60,20,1,0,0,1,0
1049,18,8,2,144,200,15,2,60,40,1,0,1,0,0
0,18,8,3,144,0,0,0,0,0,0,0,0,0,1
483,19,1,1,145,300,15,2,50,30,0,1,1,0,0
739,19,1,2,145,100,10,1,70,30,1,0,1,0,0
0,19,1,3,145,0,0,0,0,0,0,0,0,0,1
581,19,2,1,146,200,15,0.5,60,30,1,0,1,0,0
384,19,2,2,146,300,15,1,70,20,1,0,0,1,0
0,19,2,3,146,0,0,0,0,0,0,0,0,0,1
90,19,3,1,147,300,20,0.5,50,20,0,1,0,1,0
1257,19,3,2,147,300,15,1,70,40,0,1,0,1,0
